date,datetime,cash_type,card,money,coffee_name
5/16/24,2024-05-16 10:38:42,card,ANON-0000-0000-0097,32.82,Americano with Milk
5/16/24,2024-05-16 10:39:49,card,ANON-0000-0000-0172,32.82,Americano with Milk
5/16/24,2024-05-16 11:42:50,cash,,39,Latte
5/16/24,2024-05-16 11:44:21,cash,,39,Cappuccino
5/16/24,2024-05-16 12:14:00,card,ANON-0000-0000-0173,32.82,Americano with Milk
5/16/24,2024-05-16 15:15:16,card,ANON-0000-0000-0174,37.72,Hot Chocolate
5/16/24,2024-05-16 17:44:32,card,ANON-0000-0000-0069,37.72,Latte
5/16/24,2024-05-16 18:12:57,card,ANON-0000-0000-0175,37.72,Hot Chocolate
5/16/24,2024-05-16 18:13:58,card,ANON-0000-0000-0175,37.72,Latte
5/17/24,2024-05-17 09:00:48,card,ANON-0000-0000-0033,27.92,Americano
5/17/24,2024-05-17 11:30:28,card,ANON-0000-0000-0164,32.82,Americano with Milk
5/17/24,2024-05-17 14:58:03,cash,,34,Americano with Milk
5/17/24,2024-05-17 19:55:19,card,ANON-0000-0000-0012,32.82,Americano with Milk
5/17/24,2024-05-17 19:56:47,card,ANON-0000-0000-0009,37.72,Cappuccino
5/17/24,2024-05-17 20:37:53,card,ANON-0000-0000-0176,37.72,Cappuccino
5/17/24,2024-05-17 22:34:51,card,ANON-0000-0000-0177,27.92,Americano
5/17/24,2024-05-17 22:36:33,card,ANON-0000-0000-0178,37.72,Latte
5/17/24,2024-05-17 22:37:43,card,ANON-0000-0000-0179,37.72,Latte
5/18/24,2024-05-18 08:01:38,card,ANON-0000-0000-0180,37.72,Cappuccino
5/18/24,2024-05-18 08:02:40,card,ANON-0000-0000-0180,37.72,Cappuccino
5/18/24,2024-05-18 11:15:56,card,ANON-0000-0000-0181,32.82,Americano with Milk
5/18/24,2024-05-18 16:48:29,card,ANON-0000-0000-0172,32.82,Americano with Milk
5/18/24,2024-05-18 16:49:27,card,ANON-0000-0000-0097,32.82,Americano with Milk
5/18/24,2024-05-18 19:58:44,card,ANON-0000-0000-0040,32.82,Americano with Milk
5/18/24,2024-05-18 20:22:53,card,ANON-0000-0000-0009,37.72,Latte
5/18/24,2024-05-18 22:05:27,cash,,39,Cappuccino
5/19/24,2024-05-19 07:58:38,card,ANON-0000-0000-0182,27.92,Americano
5/19/24,2024-05-19 07:59:34,card,ANON-0000-0000-0182,27.92,Americano
5/19/24,2024-05-19 08:00:35,card,ANON-0000-0000-0183,37.72,Cappuccino
5/19/24,2024-05-19 09:28:50,cash,,24,Espresso
5/19/24,2024-05-19 12:14:27,card,ANON-0000-0000-0184,32.82,Americano with Milk
5/19/24,2024-05-19 14:43:40,card,ANON-0000-0000-0012,27.92,Americano
5/19/24,2024-05-19 15:58:58,card,ANON-0000-0000-0185,32.82,Americano with Milk
5/19/24,2024-05-19 18:12:36,card,ANON-0000-0000-0186,32.82,Americano with Milk
5/19/24,2024-05-19 18:13:48,card,ANON-0000-0000-0186,23.02,Espresso
5/19/24,2024-05-19 18:16:30,card,ANON-0000-0000-0186,37.72,Hot Chocolate
5/19/24,2024-05-19 19:51:07,card,ANON-0000-0000-0187,37.72,Cappuccino
5/19/24,2024-05-19 21:15:42,card,ANON-0000-0000-0188,37.72,Cappuccino
5/19/24,2024-05-19 21:18:36,card,ANON-0000-0000-0189,37.72,Cappuccino
5/20/24,2024-05-20 10:05:59,card,ANON-0000-0000-0190,32.82,Americano with Milk
5/20/24,2024-05-20 10:17:52,card,ANON-0000-0000-0191,37.72,Latte
5/20/24,2024-05-20 10:58:48,card,ANON-0000-0000-0001,37.72,Latte
5/20/24,2024-05-20 11:15:16,card,ANON-0000-0000-0143,27.92,Americano
5/20/24,2024-05-20 11:16:20,card,ANON-0000-0000-0143,27.92,Americano
5/20/24,2024-05-20 13:27:13,card,ANON-0000-0000-0003,27.92,Americano
5/20/24,2024-05-20 13:28:10,card,ANON-0000-0000-0003,27.92,Americano
5/20/24,2024-05-20 14:13:19,card,ANON-0000-0000-0192,32.82,Americano with Milk
5/20/24,2024-05-20 14:14:31,card,ANON-0000-0000-0192,37.72,Cappuccino
5/20/24,2024-05-20 14:32:21,cash,,29,Americano
5/20/24,2024-05-20 17:12:51,card,ANON-0000-0000-0120,37.72,Latte
5/20/24,2024-05-20 17:13:57,card,ANON-0000-0000-0193,37.72,Latte
5/20/24,2024-05-20 20:36:48,card,ANON-0000-0000-0194,32.82,Americano with Milk
5/20/24,2024-05-20 20:37:57,card,ANON-0000-0000-0194,37.72,Cocoa
5/20/24,2024-05-20 20:46:52,card,ANON-0000-0000-0195,27.92,Cortado
5/20/24,2024-05-20 21:36:54,card,ANON-0000-0000-0012,32.82,Americano with Milk
5/20/24,2024-05-20 21:37:58,card,ANON-0000-0000-0012,32.82,Americano with Milk
5/21/24,2024-05-21 08:27:38,card,ANON-0000-0000-0196,37.72,Latte
5/21/24,2024-05-21 09:43:51,cash,,29,Americano
5/21/24,2024-05-21 09:44:40,cash,,34,Americano with Milk
5/21/24,2024-05-21 09:46:09,cash,,39,Cocoa
5/21/24,2024-05-21 10:05:08,cash,,39,Latte
5/21/24,2024-05-21 16:10:20,card,ANON-0000-0000-0197,37.72,Latte
5/21/24,2024-05-21 18:13:24,card,ANON-0000-0000-0012,23.02,Espresso
5/21/24,2024-05-21 19:11:09,card,ANON-0000-0000-0198,37.72,Cappuccino
5/21/24,2024-05-21 20:13:48,card,ANON-0000-0000-0199,37.72,Cappuccino
5/22/24,2024-05-22 09:34:42,card,ANON-0000-0000-0200,37.72,Cappuccino
5/22/24,2024-05-22 10:49:47,card,ANON-0000-0000-0191,32.82,Americano with Milk
5/22/24,2024-05-22 11:18:14,card,ANON-0000-0000-0141,27.92,Cortado
5/22/24,2024-05-22 11:34:55,card,ANON-0000-0000-0097,32.82,Americano with Milk
5/22/24,2024-05-22 12:29:51,card,ANON-0000-0000-0012,27.92,Americano
5/22/24,2024-05-22 12:30:43,card,ANON-0000-0000-0012,27.92,Americano
5/22/24,2024-05-22 14:00:20,card,ANON-0000-0000-0009,32.82,Americano with Milk
5/22/24,2024-05-22 19:24:58,card,ANON-0000-0000-0134,37.72,Cappuccino
5/22/24,2024-05-22 19:25:59,card,ANON-0000-0000-0134,37.72,Cappuccino
5/22/24,2024-05-22 21:23:53,card,ANON-0000-0000-0180,37.72,Hot Chocolate
5/22/24,2024-05-22 21:24:50,card,ANON-0000-0000-0180,37.72,Cappuccino
5/23/24,2024-05-23 10:10:20,card,ANON-0000-0000-0201,37.72,Cappuccino
5/23/24,2024-05-23 12:22:07,card,ANON-0000-0000-0202,23.02,Espresso
5/23/24,2024-05-23 15:55:17,card,ANON-0000-0000-0180,37.72,Cappuccino
5/23/24,2024-05-23 15:56:27,card,ANON-0000-0000-0203,37.72,Cappuccino
5/23/24,2024-05-23 16:18:14,card,ANON-0000-0000-0180,37.72,Cappuccino
5/23/24,2024-05-23 16:41:00,card,ANON-0000-0000-0077,37.72,Latte
5/23/24,2024-05-23 17:14:33,card,ANON-0000-0000-0153,37.72,Cappuccino
5/23/24,2024-05-23 17:15:45,card,ANON-0000-0000-0153,37.72,Latte
5/23/24,2024-05-23 19:03:54,card,ANON-0000-0000-0204,27.92,Cortado
5/23/24,2024-05-23 19:17:28,card,ANON-0000-0000-0134,37.72,Cappuccino
5/23/24,2024-05-23 19:18:26,card,ANON-0000-0000-0205,37.72,Cappuccino
